name,barcode,ingredients
Pâtes spaghetti au blé complet integral 500g - Barilla - 500 g,8076809529419,Francês:semoule complete de ble dur
Creme Chantilly Président - 250 g (241 ml),3155250349793,"Francês:Crème(lait)(91%), Sucre (8,5%), émulsifiant E471 (origine végétale), stabilisant E407, arôme vanille, gaz propulseurs E942, E941"
Bonbon à la Sève de Pin - La Vosgienne - 125 g,3014680009175,"Francês:Sucre, sirop de glucose, miel, menthol, huiles essentielles (eucalyptus, pin), mélasses, extrait de réglisse"
Chocolate meio amargo com framboesa - Lindt - 100 g e,3046920010603,"Francês:Sucre, pâte de cacao, beurre de cacao, beurre laitier concentré, framboise lyophilisée 2%, émulsifiant (lécithine de soja), arôme naturel, arôme.
Cacao : 47% minimum."
Néstor - Nestle - 21g,11117780,"Inglês:Dark chocolate coating (sugar, chocolate liquor processed with alkali, cocoa butter, butterfat [milk],soy lecithin, and vanilla), pretzels (unbleached enriched wheat flour [flour, niacin, reduced iron, thiamine mononitrate-b1, riboflavin-b2, folic acid], malt, salt, soybean and/or canola oil, and yeast), peppermint flakes (sugar, corn syrup, vegetable juice concentrate, caramel color, natural peppermint oil)."
Tônico Facial Hidratante Cerave,3337875597449,"ÁGUA, GLICEROL, TRIGLICERÍDEO CAPRÍLICO/CÁPRICO, NICOTINAMIDA, ÁLCOOL CETOESTEARÍLICO, FOSFATO DE POTÁSSIO MONOBÁSICO, CERAMIDA NP, CERAMIDA AP, CERAMIDA EOP, CARBÔMER, DIMETICONA, CETOMACROGOL 1000, METOSSULFATO DE BEENTRIMÔNIO, LAUROIL LACTILATO DE SÓDIO, HIALURONATO DE SÓDIO, COLESTEROL, FENOXIETANOL, EDETATO DISSÓDICO, FOSFATO DE POTÁSSIO DIBÁSICO, CAPRILILGLICOL, FITOESFINGOSINA, GOMA XANTANA, DI-ISOESTEARATO DE POLIGLICERILA-3, ETILEXILGLICERINA. (CODE F.I.L. D213445/2)"
Skittles Fruits Pouch - 152 g,4009900482967,"Inglês:sugar, glucose syrup, palm fat, acids citric acid maltodextrin, flavourings, modified starch, colours e162, e163, e171, e160a, e100, e132, e133, e160e, acidity regulaton: sodium citrate, glazing agent: carnauba wax"
Hacendado - 500 g,8480000603067,"Peito de frango (60%),farinha de trigo(glutenamido de milho, óleos vegetais em proporção variável (ver tipo especifico junto a indicação do lote), cebola em pó, sal, aromas (contémleiteesoja) especiarias, alho, amido modificado, levedantes (E-450, E-500), caril açúcar, maltodextrina, fibra de arroz Pode conter vestigios de: crustáceos,ovo,peixe,mostarda,moluscos."
Nutella 350g - Ferrero - 350 g,7898024394181,"Espanhol / castelhano:AZÚCAR, GRASA VEGETAL,AVELLANAS, LECHE DESCREMADA EN POLVO, CACAO EN POLVO DESGRASADO, EMULSIFICANTE (LECITINAS), SABORIZANTE. CONTIENEAVELLANA,LECHEY DERIVADOS DESOJA."
The Ordinary Glycolic Acid 7% Toning Solution (Solução tonificante de ácido glicólico 7%) - 240 ml,0769915190977,"Aqua (Water), Glycolic Acid, Rosa Damascena Flower Water, Centaurea Cyanus Flower Water, Aloe Barbadensis Leaf Water, Propanediol, Glycerin, Triethanolamine, Aminomethyl Propanol, Panax Ginseng Root Extract, Tasmannia Lanceolata Fruit/Leaf Extract, Aspartic Acid, Alanine, Glycine, Serine, Valine, Isoleucine, Proline, Threonine, Histidine, Phenylalanine, Glutamic Acid, Arginine, Pca, Sodium Pca, Sodium Lactate, Fructose, Glucose, Sucrose, Urea, Hexyl Nicotinate, Dextrin, Citric Acid, Polysorbate 20, Gellan Gum, Trisodium Ethylenediamine Disuccinate, Sodium Chloride, Hexylene Glycol, Potassium Sorbate, Sodium Benzoate, 1,2-Hexanediol, Caprylyl Glycol."
Qualy cremosa com sal - 500 g,7893000394209,"ÓLEO DE SOJA, ÁGUA, GORDURA VEGETAL, SAL, SORO DE LEITE EM PÓ, LEITE EM PÓ DESNATADO, VITAMINAS (B6, B1, B12), VITAMINA A, SELENITO DE SÓDIO (SELÊNIO), ESTABILIZANTES (MONO E DIGLICERÍDEOS DE ÁCIDOS GRAXOS,LECITINA DE SOJA), CONSERVADORES (SORBATO DE POTÁSSIO, BENZOATO DE SÓDIO), ANTIOXIDANTES (TBHQ, EDTA CÁLCIO DISSÓDICO, BHT), ACIDULANTE (ÁCIDO CÍTRICO), AROMATIZANTE (AROMA IDÊNTICO AO NATURAL), CORANTES (URUCUM, BETA CAROTENO, CÚRCUMA)."
Maionese - Hellmann's - 500 g,7894000050034,"ÁGUA, ÓLEO VEGETAL, AMIDO MODIFICADO,OVO, VINAGRE, AÇÚCAR, SAL, SUCO DE LIMÃO, AROMATIZANTES, ÁCIDO SÓRBICO, GOMA XANTANA, ÁCIDO FOSFÓRICO, SEQUESTRANTE (EDTA, CÁLCIO DISSÓDICO), CORANTE NATURAL (PÁPRICA)."
Achocolatado em pó - Nescau - 370g,7891000379691,"Açúcar, cacau em pó, maltodextrina, minerais [cálcio (carbonato de cálcio) e ferro (fumarato ferroso)] soro de leite em pó, vitaminas [vitamina C (ácido L-ascórbico), vitamina B3 (nicotinamida), vitamina 86 (coidrato de piridoxina), vitamina B2 (riboflavina) tamina A (acetato de retinila), vitamina D colecalciferol) e vitamina B12 (cianocobalamina)], emulsificante lecitina de soja e aromatizante."
Yopro boost 15g,0778777121111,Product ingredients not found!
Turrón & Maní - Arcor - 25 g,77940131,"Espanhol / castelhano:JARABE DE GLUCOSA, HARINA DE TRIGO ENRIQUECIDA (HIERRO 0.0030%, ÁCIDO FÓLICO 0.00022%, TIAMINA 0.00063%, RIBOFLAVINA 0.00013%, NIACINA 0.0013%), AZÚCAR, MANÍ TOSTADO (10%), ACEITE DE GIRASOL, PROTEÍNA VEGETAL HIDROLIZADA, SAL, EMULSIONANTE (LECITINA DE SOJA), ESPESANTE (GELATINA), LEUDANTE (BICARBONATO DE SODIO), AROMA ARTIFICIAL."
ACHOC PO TODDY - 370g,7892840819507,Product ingredients not found!
MILKA Chocolate Milka Branco - 100g,7622210999634,"Inglês:Açúcar, manteiga de cacau, leite em pó integral, soro de leite em pó, gordura vegetal (palma), emulsificante (lecitina de soja), aromatizante, pode conter nozes."
Toddy - 26 oz,7892840819170,"AÇÚCAR, CACAU, CARBONATO DE CÁLCIO, MALTODEXTRINA, EXTRATO DE MALTE DE CEVADA, SAL, VITAMINAS [MALTODEXTRINA, NITRATO DE TIAMINA (VITAMINA B1) E CLORIDRATO DE PIRIDOXINA (VITAMINA B6)], AROMATIZANTES E EMULSIFICANTE LECITINA."
Farofa De Mandioca Tradicional - YOKI - 400g,7891095911486,"Farinha de mandioca, óleo vegetal, pasta de alho, sal, colorifico (fubá enriquecido com ferro e ácido fólico e corante natural urucum), cebola, pimenta calabresa, pimenta preta, cebolinha, aromatizantes e realçador de sabor (glutamato monossódico)."
TABASCO Molho de Pimenta Jalapeño - 60ml,0011210009530,"Vinagre destilado, Pimenta Jalapeño, Água, Sal, Amido de milho, Goma xantana, Ácido ascórbico, Sem gorduras trans, Sem colesterol, Sem açúcar, Sem sabores artificiais, Sem corantes, Sem conservantes."
Pão de Fôrma Integral - Wickbold - 550g - 550 g,7896066301778,"Farinha de trigo integral, farinha de trigo enriquecida com ferro e acido folico,gluten, fibra de trigo, açúcar, óleo de soja, sal sal hipossódico e conservadores propionato de calcio e sorbato de potássio ALERGICOS: CONTÉM DERIVADOS DE SOJA É DERIVADOS DE TRIGO. PODE CONTER AMENDOA,AMENDOIM,AVEIA, AVELAS CASTANHA-DE-CAJU, CASTANHA-DO-PARA CENTEIO,CEVADA,ÉSPELTA, FARRO, FREEKEH LEITE MACADAMIAS,NOZES,OVOS, PECĀS, PISTACHES E TRITICALE.CONTÉM GLUTEN."
Tapioca Hidratada da Terrinha 500g - 500 g,7898994081623,Product ingredients not found!
"Suco de Uva - Aurora - 1,5 l",7891141019838,"Suco de uva tinto integral, INS 202, INS 220"
Leite Integral Piracanjuba - 1 L,7898215151708,"Leite integral e estabilizantes citrato de sódio, trifosfato de sódio, monofosfato monossódico e difosfato dissódico. ALÉRGICOS:CONTÉM LEITE.CONTÉM LACTOSE. NÃO CONTÉM GLÚTEN."
Leite Ninho Integral - 1litro,7898215157403,"Leite integral, minerais [cálcio (fosfato tricálcico), ferro (pirofosfato férrico) e zinco (sulfato de zinco)], vitaminas [vitamina C (ácido ascórbico), vitamina E (acetato de DL-alfa-tocoferila), vitamina A (acetato de retinila) e vitamina D (colecalciferol)] e estabilizantes citrato de sódio, trifosfato de sódio, monofosfato de sódio e difosfato de sódio."
Gomiti 53 - Divella - 500 g - 17.6 oz,8005121000535,"Italiano:Semola di grano duro, acqua 12.5%."
Sopa Juliana - Trevijano - 100 g,8410770022058,"Espanhol / castelhano:Zanahoria, patata, chirivía, puerro, cebolla, col,apio, perejil"
Natural Spring Water - Poland Spring - 700ml,0075720431151,Inglês:Spring water
4056489733577,4056489733577,Product ingredients not found!
Nescafe Classic Coffee,7891000071823,Product ingredients not found!
Leite UHT Integral - Italac - 1 L,7898080640611,"Leite integral e estabilizantes citrato de sódio, trifosfato de sódio, monofosfato monossódico e difosfato dissódico."
Refrigerante Coca Cola Original Garrafa 2l,7894900027013,"ÁGUA GASEIFICADA, AÇÚCAR, EXTRATO DE NOZ DE COLA, CAFEÍNA, CORANTE CARAMELO IN ACIDULANTE ÁCIDO FOSFÓRICO, AROMA NATURAL E EDULCORANTE SUCRALOSE (4,4 mg)."
Feurig scharfe Jalapeño in Scheiben - Kühne - 330 g,40122915,"Alemão:Jalapeno, Branntweinessig, Salz"
Creme de Leite Piracanjuba - 200 g,7898215151784,"Creme de leite padronizado a 17% de gordura, leite em pó desnatado, espessantes carragena, carboximetilcelulose sódica e alginato de sódio estabilizantes celulose microcristalina e citrato de sódio"
Renata,07117815,Product ingredients not found!
Postre cremoso de coco - Sococo,7896004401386,"Polpa de coco, açúcar, glucose sal, Conservadores INS 202 e INS 223, Não contém glúten"
Nescau - Nestlé - 370 g,7891000352175,"Açúcar, cacau em pó, maltodextrina, minerais [cálcio (carbonato de cálcio) e ferro (fumarato ferroso)], soro de leite em pó, vitaminas [vitamina C (ácido L-ascórbico), niacina (nicotinamida), vitamina B2 (riboflavina), vitamina A (acetato de retinila), vitamina B6 (cloridrato de piridoxina), vitamina D (colecalciferol) e vitamina B12 (cianocobalamina)], emulsificante lecitina de soja e aromatizante"
Pacoquita - Moreninha,7897047003834,Product ingredients not found!
Chocolate - Kinder - 50 g,80177609,"Chocolate deLEITEextrafino 40% (açúcar,LEITEinteiro em pó, manteiga de cacau, pasta de cacau, emulsionantes: lecitinas (SOJA); vanilina), açúcar,LEITEdesnatado em pó, gordura de palma,MANTEIGAconcentrada, emulsionantes: lecitinas (SOJA), vanilina."
Guaraná - Antarctica - 33 cl,5601045300022,"Francês:Eau gazéifiée, sucre, acidifiant: acide citrique, extraits de guarana, conservateurs (E211, E202), colorant : caramel (E150d), arômes naturels,antioxydant: acide ascorbique."
LEITE PO NINHO INTEGRAL NESTLE - 380 g,7891000325858,"Leite integral, minerais [cálcio (carbonato de cálcio), ferro (pirofosfato férrico) e zinco (sulfato de zinco)] e vitaminas [vitamina C (L-ascorbato de sódio), vitamina E (acetato de DL-alfa tocoferila), vitamina A (acetato de retinila) e vitamina D (colecalciferol)]."
Farofa - Yoki - 500 g,7891095300488,"Espanhol / castelhano:Harina de yuca/mandioca, aceites vegetales, ajo, sal, colorante (harina de maíz enriquecido com hierro y ácido fólico, aceite vegetal de soja y colorante natural achiote), cebolla, pimiento rojo, pimienta negra, cebolla verde, aromatizante e glutamato monosódico (potenciador de sabor). Contiene derivados desoya. Puede contenerglúten(trigo)."
Nutella Ferrero - 140 g,7898024395232,"Açúcar, Óleo Vegetal (Palma),Avelãs(13%), Leite Desnatado em Pó (8,7%), Cacau Em Pó Parcialmente Desengordurado (7,4%), Emulsificante (Lecitinas), Aromatizante. Componentes do Leite 8.7%."
Ninho Forti+ - Nestlé - 380 g,7891000284933,"Leite em pó integral, fibra (polidextrose), permeado de soro de leite, minerais [cálcio, ferro e zinco], vitaminas [vitamina C, vitamina E, vitamina A e vitamina D] e emulsificante lecitina de soja. ALERGICOS: CONTÉM LEITE E DERIVADOS E COMPOSTO LÁCTEO NÃO É LEITE EM PÓ."
coca cola sem açúcar - CocaCola - 2litros,7894900701517,"INGR: AGUA GASEIFICADA, EXTRATO DE NOZ DE COLA, CAFEINA, AROMA NATURAL, CORANTE CARAMELO IV, ACIDULANTE ÁCIDO FOSFORICO, EDULCORANTES CICLAMATO DE SODIO (27 mg) ACESULFAME DE POTASSIO (15 mg) EASPARTAME (12 mg) POR 100 ml, CONSERVADOR BENZOATO DE SODIO E ESTABILIZANTE CITRATO DE SÓDIO. CONSERVAR AO ABRIGO DO SOL E CALOR, EM LOCAL LIMPO E SECO, AREJADO E SEM ODOR. NÃO CONGELAR. NAO CONTEM GLUTEN CONTÉM FENILALANINA BAIXO TEOR DE SODIO SEM AÇUCARES"
Danone Natural Desnatado - 160g,7891025120223,Product ingredients not found!
Requeijão Vigor 200G,7891999144485,"Q MAGEM ILUSTRATIVA INGREDIENTES: CREME DE LEITE, LEITE DESNATADO, CLORETO DE SODIO (SAL), FERMENTO LACTEO, ESTABILIZANTES POLIFOSFATO DE SODIO, PIROFOSFATO TETRASSODICO, PIROFOSFATO ACIDO DE SODIO, CONSERVADORES ACIDO SORBICO E NISINA. NAO CONTEM GLUTEN.CONTEM LACTOSE. ALERGICOS:CONTEM LEITE E DERIVADOS. INFORMAÇÃO NUTRICIONAL: PORCAO 30g; (1 COLHER DE SOPA) VALOR ENERGETICO"
fermento Royal - 100g,7622300119621,Product ingredients not found!
Leite Condensado Integral moça - Nestlé - 395 g,7891000100103,"LEITE INTEGRAL, AÇÚCAR ELACTOSE."
Toddynho - Pepsico - 200ml,7894321722016,"leite integral reconstituído, açúcar, soro de leite em pó, cacau, gordura vegetal hidrogenada,extrato de malte, vitaminas (C, A, ácido fólico), sal, espessantes (goma guar, carragena), estabilizantes (mono, diglicerídeos de ácidos graxos, citrato de sódio,lecitina de soja), aromatizante"
